 mapdata_prod       | lake_centerline                       | table | postgres
mapdata_prod       | ne_10m_admin_0_boundary_lines_land    | table | postgres
mapdata_prod       | ne_10m_admin_0_countries              | table | postgres
mapdata_prod       | ne_10m_admin_1_states_provinces       | table | postgres
mapdata_prod       | ne_10m_admin_1_states_provinces_lines | table | postgres
mapdata_prod       | ne_10m_antarctic_ice_shelves_polys    | table | postgres
mapdata_prod       | ne_10m_geography_marine_polys         | table | postgres
mapdata_prod       | ne_10m_glaciated_areas                | table | postgres
mapdata_prod       | ne_10m_lakes                          | table | postgres
mapdata_prod       | ne_10m_ocean                          | table | postgres
mapdata_prod       | ne_10m_populated_places               | table | postgres
mapdata_prod       | ne_10m_rivers_lake_centerlines        | table | postgres
mapdata_prod       | ne_110m_admin_0_boundary_lines_land   | table | postgres
mapdata_prod       | ne_110m_glaciated_areas               | table | postgres
mapdata_prod       | ne_110m_lakes                         | table | postgres
mapdata_prod       | ne_110m_ocean                         | table | postgres
mapdata_prod       | ne_110m_rivers_lake_centerlines       | table | postgres
mapdata_prod       | ne_50m_admin_0_boundary_lines_land    | table | postgres
mapdata_prod       | ne_50m_admin_1_states_provinces_lines | table | postgres
mapdata_prod       | ne_50m_antarctic_ice_shelves_polys    | table | postgres
mapdata_prod       | ne_50m_glaciated_areas                | table | postgres
mapdata_prod       | ne_50m_lakes                          | table | postgres
mapdata_prod       | ne_50m_ocean                          | table | postgres
mapdata_prod       | ne_50m_rivers_lake_centerlines        | table | postgres
mapdata_prod       | ne_50m_urban_areas                    | table | postgres
mapdata_prod       | osm_ocean_polygon                     | table | postgres   
